
----------------------------- live log collection ------------------------------
DEBUG    jax._src.path:path.py:41 etils.epath found. Using etils.epath for file I/O.

tests/test_manifolds.py::test_addition[Euclidean-2-10-float32] PASSED    [  0%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-2-float32] PASSED  [  0%]
tests/test_manifolds.py::test_dist[Euclidean-2-10-float32] PASSED        [  0%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-2-10-float32] PASSED [  0%]
tests/test_manifolds.py::test_ptransp[Euclidean-2-10-float32] PASSED     [  0%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-2-10-float32] PASSED [  0%]
tests/test_manifolds.py::test_gyration[10-Euclidean-2-float32] SKIPPED   [  0%]
tests/test_manifolds.py::test_addition[Euclidean-2-10-float64] PASSED    [  0%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-2-float64] PASSED  [  1%]
tests/test_manifolds.py::test_dist[Euclidean-2-10-float64] PASSED        [  1%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-2-10-float64] PASSED [  1%]
tests/test_manifolds.py::test_ptransp[Euclidean-2-10-float64] PASSED     [  1%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-2-10-float64] PASSED [  1%]
tests/test_manifolds.py::test_gyration[10-Euclidean-2-float64] SKIPPED   [  1%]
tests/test_manifolds.py::test_addition[Euclidean-2-11-float64] PASSED    [  1%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-2-float64] PASSED  [  1%]
tests/test_manifolds.py::test_dist[Euclidean-2-11-float64] PASSED        [  1%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-2-11-float64] PASSED [  2%]
tests/test_manifolds.py::test_ptransp[Euclidean-2-11-float64] PASSED     [  2%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-2-11-float64] PASSED [  2%]
tests/test_manifolds.py::test_gyration[11-Euclidean-2-float64] SKIPPED   [  2%]
tests/test_manifolds.py::test_addition[Euclidean-5-11-float64] PASSED    [  2%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-5-float64] PASSED  [  2%]
tests/test_manifolds.py::test_dist[Euclidean-5-11-float64] PASSED        [  2%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-5-11-float64] PASSED [  2%]
tests/test_manifolds.py::test_ptransp[Euclidean-5-11-float64] PASSED     [  3%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-5-11-float64] PASSED [  3%]
tests/test_manifolds.py::test_gyration[11-Euclidean-5-float64] SKIPPED   [  3%]
tests/test_manifolds.py::test_addition[Hyperboloid-5-11-float64] SKIPPED [  3%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-5-float64] PASSED [  3%]
tests/test_manifolds.py::test_dist[Hyperboloid-5-11-float64] PASSED      [  3%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-5-11-float64] PASSED [  3%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-5-11-float64] PASSED   [  3%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-5-11-float64] PASSED [  3%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-5-float64] SKIPPED [  4%]
tests/test_manifolds.py::test_addition[Hyperboloid-5-11-float32] SKIPPED [  4%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-5-float32] PASSED [  4%]
tests/test_manifolds.py::test_dist[Hyperboloid-5-11-float32] PASSED      [  4%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-5-11-float32] PASSED [  4%]
